Number of nodes 316 
     0 :  1.4694847e+00  1.0110118e-01 
     1 :  2.0016393e+00  1.8032787e-02 
     2 : -1.1467638e+00  1.0143158e-01 
     3 :  2.1429447e-01  1.7011817e-01 
     4 :  1.4277874e+00  1.8768660e-01 
     5 :  1.3340943e+00  2.0907144e-01 
     6 :  1.2589583e+00  1.4915246e-01 
     7 :  1.2589583e+00  5.3049895e-02 
     8 :  1.3340943e+00 -6.8690765e-03 
     9 :  1.4277874e+00  1.4515757e-02 
    10 :  1.9199293e+00  7.3385449e-02 
    11 :  1.8293680e+00  1.1412897e-01 
    12 :  1.7367898e+00  1.5010186e-01 
    13 :  1.6431667e+00  1.8326948e-01 
    14 :  1.5488426e+00  2.1439115e-01 
    15 :  1.4539802e+00  2.4383275e-01 
    16 :  1.3586701e+00  2.7179150e-01 
    17 :  1.2629682e+00  2.9837861e-01 
    18 :  1.1669121e+00  3.2365667e-01 
    19 :  1.0705291e+00  3.4765841e-01 
    20 :  9.7384041e-01  3.7039703e-01 
    21 :  8.7686326e-01  3.9187230e-01 
    22 :  7.7961286e-01  4.1207414e-01 
    23 :  6.8210323e-01  4.3098504e-01 
    24 :  5.8434787e-01  4.4858146e-01 
    25 :  4.8636030e-01  4.6483487e-01 
    26 :  3.8815442e-01  4.7971227e-01 
    27 :  2.8974490e-01  4.9317661e-01 
    28 :  1.9114741e-01  5.0518686e-01 
    29 :  9.2378916e-02  5.1569806e-01 
    30 : -6.5420182e-03  5.2466114e-01 
    31 : -1.0559494e-01  5.3202263e-01 
    32 : -2.0475718e-01  5.3772430e-01 
    33 : -3.0400340e-01  5.4170256e-01 
    34 : -4.0330517e-01  5.4388782e-01 
    35 : -5.0263035e-01  5.4420350e-01 
    36 : -6.0194237e-01  5.4256487e-01 
    37 : -7.0119927e-01  5.3887751e-01 
    38 : -8.0035247e-01  5.3303538e-01 
    39 : -8.9934514e-01  5.2491826e-01 
    40 : -9.9811000e-01  5.1438838e-01 
    41 : -1.0965662e+00  5.0128582e-01 
    42 : -1.1946148e+00  4.8542225e-01 
    43 : -1.2921327e+00  4.6657204e-01 
    44 : -1.3889619e+00  4.4445933e-01 
    45 : -1.4848944e+00  4.1873873e-01 
    46 : -1.5796452e+00  3.8896499e-01 
    47 : -1.6728048e+00  3.5454391e-01 
    48 : -1.7637472e+00  3.1464658e-01 
    49 : -1.8514315e+00  2.6804889e-01 
    50 : -1.9339193e+00  2.1282487e-01 
    51 : -2.0069442e+00  1.4572603e-01 
    52 : -2.0588606e+00  6.1745377e-02 
    53 : -2.0594552e+00 -3.5478045e-02 
    54 : -1.9988015e+00 -1.1258605e-01 
    55 : -1.9129706e+00 -1.6204785e-01 
    56 : -1.8192665e+00 -1.9476202e-01 
    57 : -1.7225313e+00 -2.1717115e-01 
    58 : -1.6244291e+00 -2.3263023e-01 
    59 : -1.5256603e+00 -2.4307218e-01 
    60 : -1.4265604e+00 -2.4971886e-01 
    61 : -1.3273043e+00 -2.5340125e-01 
    62 : -1.2279877e+00 -2.5471579e-01 
    63 : -1.1286636e+00 -2.5410921e-01 
    64 : -1.0293612e+00 -2.5192779e-01 
    65 : -9.3009555e-01 -2.4844754e-01 
    66 : -8.3087318e-01 -2.4389358e-01 
    67 : -7.3169534e-01 -2.3845311e-01 
    68 : -6.3256006e-01 -2.3228416e-01 
    69 : -5.3346339e-01 -2.2552222e-01 
    70 : -4.3440027e-01 -2.1828493e-01 
    71 : -3.3536500e-01 -2.1067552e-01 
    72 : -2.3635170e-01 -2.0278511e-01 
    73 : -1.3735452e-01 -1.9469484e-01 
    74 : -3.8367798e-02 -1.8647757e-01 
    75 :  6.0613823e-02 -1.7819899e-01 
    76 :  1.5959526e-01 -1.6991823e-01 
    77 :  2.5858098e-01 -1.6168878e-01 
    78 :  3.5757493e-01 -1.5355900e-01 
    79 :  4.5658051e-01 -1.4557229e-01 
    80 :  5.5560057e-01 -1.3776704e-01 
    81 :  6.5463732e-01 -1.3017674e-01 
    82 :  7.5369241e-01 -1.2282962e-01 
    83 :  8.5276681e-01 -1.1574774e-01 
    84 :  9.5186083e-01 -1.0894587e-01 
    85 :  1.0509740e+00 -1.0242969e-01 
    86 :  1.1501052e+00 -9.6192786e-02 
    87 :  1.2492522e+00 -9.0211814e-02 
    88 :  1.3484114e+00 -8.4438303e-02 
    89 :  1.4475776e+00 -7.8784365e-02 
    90 :  1.5467418e+00 -7.3095714e-02 
    91 :  1.6458875e+00 -6.7095367e-02 
    92 :  1.7449778e+00 -6.0248666e-02 
    93 :  1.8439013e+00 -5.1347893e-02 
    94 :  1.9420790e+00 -3.6585026e-02 
    95 : -1.1677559e+00  1.9340364e-01 
    96 : -1.2265742e+00  2.6715950e-01 
    97 : -1.3115692e+00  3.0809092e-01 
    98 : -1.4059064e+00  3.0809092e-01 
    99 : -1.4909014e+00  2.6715950e-01 
   100 : -1.5497197e+00  1.9340364e-01 
   101 : -1.5707118e+00  1.0143158e-01 
